portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
7791eac4-ac36-4106-ad44-7983dd35bfdc	TCGA-06-0190-01A-21-2214-20	74139255-a635-4c87-814d-3dd04ed630a8	TCGA-06-0190	TCGA-GBM	5e92a5d5-77a4-401a-ade3-e01c95302ec0	TCGA-06-0190-01A	released	21	--	False
c3a585a9-7c15-44d2-8ba4-066263c71ad4	TCGA-06-0190-01A-01	74139255-a635-4c87-814d-3dd04ed630a8	TCGA-06-0190	TCGA-GBM	5e92a5d5-77a4-401a-ade3-e01c95302ec0	TCGA-06-0190-01A	released	01	--	False
9f072f71-4a58-4c16-93f1-6981e9b31443	TCGA-06-0190-10B-01	74139255-a635-4c87-814d-3dd04ed630a8	TCGA-06-0190	TCGA-GBM	5e4f6c38-9b1f-4406-8bf3-8b3fa6d3399f	TCGA-06-0190-10B	released	01	--	False
4a480d45-5bb0-4950-afe1-c2f6bfcf0013	TCGA-06-2559-10A-01	ca893d12-3d6c-4e6f-b0e7-7f4eb8bb724b	TCGA-06-2559	TCGA-GBM	b4c8b106-aad1-4eae-85fa-b3a433d6d4fc	TCGA-06-2559-10A	released	01	--	False
0984ae2d-a52a-4301-84bd-1555dc430552	TCGA-06-2559-01A-01	ca893d12-3d6c-4e6f-b0e7-7f4eb8bb724b	TCGA-06-2559	TCGA-GBM	8e4c4c4d-6bb4-407a-923f-5ec50618306e	TCGA-06-2559-01A	released	01	148.0	False
39e3cdd1-1b6e-43a9-a6c9-857f4d764d37	TCGA-06-2559-01A-22-1899-20	ca893d12-3d6c-4e6f-b0e7-7f4eb8bb724b	TCGA-06-2559	TCGA-GBM	8e4c4c4d-6bb4-407a-923f-5ec50618306e	TCGA-06-2559-01A	released	22	--	False
f6990981-9cdc-4366-b879-f45cd4e79d1a	TCGA-12-0618-10A-01	f7ba48c8-46cf-40a9-8826-7e1f67d57171	TCGA-12-0618	TCGA-GBM	1332ed7d-c4b0-4a61-837e-c96d0a9d74ee	TCGA-12-0618-10A	released	01	--	False
bc2d13bc-9349-4571-8341-2479516daec9	TCGA-12-0618-01A-01	f7ba48c8-46cf-40a9-8826-7e1f67d57171	TCGA-12-0618	TCGA-GBM	fc917f09-f0b2-4d59-be8f-077e5aae9bb7	TCGA-12-0618-01A	released	01	--	False
e4b44325-e2ae-4d57-a7c1-7feab90f9cc6	TCGA-14-0790-10A-01	7fe37feb-e205-4524-8c98-1f9ac5fe0700	TCGA-14-0790	TCGA-GBM	784c3a60-9b01-41f8-b526-c00a4e177de5	TCGA-14-0790-10A	released	01	--	False
4c7fb38c-987e-4f77-8e57-528b853e3415	TCGA-14-0790-01B-01	7fe37feb-e205-4524-8c98-1f9ac5fe0700	TCGA-14-0790	TCGA-GBM	ffc7b95c-4d40-483b-8f9a-4afc17460890	TCGA-14-0790-01B	released	01	93.0	False
003d31d6-513b-45f8-a398-7fbad859a0f6	TCGA-12-5299-10A-01	5327e899-a20d-4571-8236-98454bad574e	TCGA-12-5299	TCGA-GBM	7f6a02bf-7ba5-4ef7-be58-02ab452ea7e8	TCGA-12-5299-10A	released	01	--	False
45239eee-8481-4bea-964e-849aee5aed20	TCGA-12-5299-01A-02	5327e899-a20d-4571-8236-98454bad574e	TCGA-12-5299	TCGA-GBM	0211d37e-20ef-421b-97cc-2ea27c688cc5	TCGA-12-5299-01A	released	02	123.0	False
7e14c74e-e8dc-487f-8fc5-afb93f3a5457	TCGA-19-2629-10A-01	e17a6048-7a72-42c0-ad3f-97cbff02bc9f	TCGA-19-2629	TCGA-GBM	2e71f2fc-5dbc-4d21-935b-c1a0e9294f5f	TCGA-19-2629-10A	released	01	--	False
1be70b75-e82b-4fa0-8ad6-5f5d6f0f229d	TCGA-19-2629-01A-01	e17a6048-7a72-42c0-ad3f-97cbff02bc9f	TCGA-19-2629	TCGA-GBM	b89a4d5d-ee24-4052-b454-b67169328737	TCGA-19-2629-01A	released	01	144.0	False
4a3372ee-d7a4-40a7-82d5-821eb8f627de	TCGA-06-0130-10A-01	7cada85b-00b1-41e5-9924-e09eb077ad56	TCGA-06-0130	TCGA-GBM	b3e9a998-5afb-4682-b5db-078403cfaa5e	TCGA-06-0130-10A	released	01	--	False
d3b16bdb-79d5-4101-a8b2-596545f70575	TCGA-06-0130-01A-03-1900-20	7cada85b-00b1-41e5-9924-e09eb077ad56	TCGA-06-0130	TCGA-GBM	9b29182f-4d9b-4809-85f4-4d5360c107a0	TCGA-06-0130-01A	released	03	--	False
4248efbb-e830-4871-bebd-6d9b79c9d537	TCGA-06-0130-01A-01	7cada85b-00b1-41e5-9924-e09eb077ad56	TCGA-06-0130	TCGA-GBM	9b29182f-4d9b-4809-85f4-4d5360c107a0	TCGA-06-0130-01A	released	01	100.0	False
a1f3fd35-cecf-420f-a050-6d94728f1201	TCGA-32-1980-01A-01	d59ffef5-f39b-4627-a7c7-6920b99c2408	TCGA-32-1980	TCGA-GBM	d1860805-70b6-4a0a-933b-4aa383aac8ee	TCGA-32-1980-01A	released	01	165.0	False
c74af7d7-c306-41ba-93ae-c552de1b46f1	TCGA-32-1980-10A-01	d59ffef5-f39b-4627-a7c7-6920b99c2408	TCGA-32-1980	TCGA-GBM	0905746b-59f2-4234-8d06-5c4b272a0005	TCGA-32-1980-10A	released	01	--	False
a9537862-cb39-4a43-b226-729ba8207ec3	TCGA-28-1753-01A-21-1898-20	b98184b9-6190-4e95-a1cf-8cffb44b9963	TCGA-28-1753	TCGA-GBM	3af335ea-a2e6-449d-8224-f6153ba95964	TCGA-28-1753-01A	released	21	--	False
7cf769b6-2b33-4c4d-90d5-33ad13ad456d	TCGA-28-1753-01A-01	b98184b9-6190-4e95-a1cf-8cffb44b9963	TCGA-28-1753	TCGA-GBM	3af335ea-a2e6-449d-8224-f6153ba95964	TCGA-28-1753-01A	released	01	108.0	False
ebe952f8-74d3-4d05-ab8d-e3f440ed3f05	TCGA-28-1753-10B-01	b98184b9-6190-4e95-a1cf-8cffb44b9963	TCGA-28-1753	TCGA-GBM	81b752b8-8a6a-4a41-a7b0-202844c0dc57	TCGA-28-1753-10B	released	01	--	False
fbc22938-1568-4456-be86-d1378d5c8c55	TCGA-06-2557-01A-01	6c28f086-6a25-40b6-93eb-bba0014acda6	TCGA-06-2557	TCGA-GBM	19521291-90a2-4865-9d3f-25973130d22e	TCGA-06-2557-01A	released	01	123.0	False
de113745-fe68-4a2f-8ffa-89ec2fd279c0	TCGA-06-2557-01A-22-1899-20	6c28f086-6a25-40b6-93eb-bba0014acda6	TCGA-06-2557	TCGA-GBM	19521291-90a2-4865-9d3f-25973130d22e	TCGA-06-2557-01A	released	22	--	False
e66e7299-2f43-4844-85cb-fd681f0b0bec	TCGA-06-2557-10A-01	6c28f086-6a25-40b6-93eb-bba0014acda6	TCGA-06-2557	TCGA-GBM	50452b8a-dc52-4f25-a9aa-bb1bc0bbeb75	TCGA-06-2557-10A	released	01	--	False
b73eb382-e1e9-4b13-b32b-bd749db51306	TCGA-06-0156-10A-01	15e058e8-2f33-4fb4-92af-3d9dea1fa906	TCGA-06-0156	TCGA-GBM	6c1b6573-c10d-4c52-8acb-f84d6346fb06	TCGA-06-0156-10A	released	01	--	False
30243b8a-bd42-4a37-96fc-c6e117b76dd5	TCGA-06-0156-01A-02	15e058e8-2f33-4fb4-92af-3d9dea1fa906	TCGA-06-0156	TCGA-GBM	f26e9844-6044-4b3b-b9df-4f95e14d9e75	TCGA-06-0156-01A	released	02	216.0	False
43449c45-8443-40ae-a673-4b238aa8c1dc	TCGA-06-0156-01A-01	15e058e8-2f33-4fb4-92af-3d9dea1fa906	TCGA-06-0156	TCGA-GBM	f26e9844-6044-4b3b-b9df-4f95e14d9e75	TCGA-06-0156-01A	released	01	188.0	False
7507eb83-723b-4d9a-94db-4f4eb369faa2	TCGA-06-0156-01A-03	15e058e8-2f33-4fb4-92af-3d9dea1fa906	TCGA-06-0156	TCGA-GBM	f26e9844-6044-4b3b-b9df-4f95e14d9e75	TCGA-06-0156-01A	released	03	--	False
495c07c0-9178-4b56-acba-0f9c6f228678	TCGA-06-0156-01A-41-1898-20	15e058e8-2f33-4fb4-92af-3d9dea1fa906	TCGA-06-0156	TCGA-GBM	f26e9844-6044-4b3b-b9df-4f95e14d9e75	TCGA-06-0156-01A	released	41	--	False
b119b3d8-9abb-40d8-b155-f561fcd5e057	TCGA-16-1045-01B-01	cd73f38a-f6ff-4e7b-bd43-ec7b82dbe7df	TCGA-16-1045	TCGA-GBM	045f17c6-0ad0-4608-a148-79d68c8f9e44	TCGA-16-1045-01B	released	01	121.0	False
e2ac5509-cf1b-4a38-a4a2-c7b3799b0838	TCGA-16-1045-10B-01	cd73f38a-f6ff-4e7b-bd43-ec7b82dbe7df	TCGA-16-1045	TCGA-GBM	ffce0e9f-6d3b-4a68-b402-8806f1efae1e	TCGA-16-1045-10B	released	01	--	False
26e70370-c867-4942-af94-15cfe42847e6	TCGA-76-4927-10A-01	9d1d9ae5-4640-4060-a207-c9c5b0e905e1	TCGA-76-4927	TCGA-GBM	51fb17cc-454a-4344-b081-d8d15b0c152b	TCGA-76-4927-10A	released	01	--	False
150b6b4c-af07-44ce-9bb8-b57e6168f565	TCGA-76-4927-01A-22-1899-20	9d1d9ae5-4640-4060-a207-c9c5b0e905e1	TCGA-76-4927	TCGA-GBM	d245834b-90b5-4a79-be65-3b76ae526b27	TCGA-76-4927-01A	released	22	--	False
4f1f162b-d208-465f-b812-f6dc27b2f05b	TCGA-76-4927-01A-01	9d1d9ae5-4640-4060-a207-c9c5b0e905e1	TCGA-76-4927	TCGA-GBM	d245834b-90b5-4a79-be65-3b76ae526b27	TCGA-76-4927-01A	released	01	130.0	False
145bef2b-f0e6-46f8-8683-a3a451d224bf	TCGA-41-4097-10A-01	66afd908-0c76-469e-abc3-89563de338c6	TCGA-41-4097	TCGA-GBM	f69c5e99-e677-436f-9908-3893126667a9	TCGA-41-4097-10A	released	01	--	False
bd77e935-9c7a-4c6a-affb-14646b15718f	TCGA-41-4097-01A-22-1899-20	66afd908-0c76-469e-abc3-89563de338c6	TCGA-41-4097	TCGA-GBM	affada32-8c38-4623-924f-c7265b02e75e	TCGA-41-4097-01A	released	22	--	False
5a175f48-4494-4e21-8701-b13418ec3dc4	TCGA-41-4097-01A-01	66afd908-0c76-469e-abc3-89563de338c6	TCGA-41-4097	TCGA-GBM	affada32-8c38-4623-924f-c7265b02e75e	TCGA-41-4097-01A	released	01	106.0	False
06b591c8-5a03-40b4-adaa-643608034f24	TCGA-32-2638-01A-01	1b25795e-69ad-47fd-bb2f-94ff0910fae1	TCGA-32-2638	TCGA-GBM	1c7c4001-1505-4667-80b6-a7491c16a16c	TCGA-32-2638-01A	released	01	184.0	False
34504869-85cc-4ea0-8c88-39a73c28cdbc	TCGA-32-2638-10A-01	1b25795e-69ad-47fd-bb2f-94ff0910fae1	TCGA-32-2638	TCGA-GBM	4f5f3827-60c0-4f70-b81c-57b7c0d4fc5e	TCGA-32-2638-10A	released	01	--	False
5c2cea9c-0559-4740-bac1-87bb35651a43	TCGA-02-2483-01A-01	a2ac9937-f351-4d78-9261-264bf6c21e0c	TCGA-02-2483	TCGA-GBM	724d75c1-7f82-4208-8510-3e89f3679bde	TCGA-02-2483-01A	released	01	90.0	False
e17085df-0320-4866-abd5-9d76df306946	TCGA-02-2483-10A-01	a2ac9937-f351-4d78-9261-264bf6c21e0c	TCGA-02-2483	TCGA-GBM	87c346e0-1365-4c41-bf6b-d93b8daaa2f3	TCGA-02-2483-10A	released	01	--	False
2003c676-d578-4932-af6f-a8bd210c6655	TCGA-06-0645-10A-01	878584ad-e6b6-493a-9f7f-3e284f5d9f68	TCGA-06-0645	TCGA-GBM	fe90e523-7f2c-4810-aa46-caac3087bc9c	TCGA-06-0645-10A	released	01	--	False
494e95ac-199d-4a99-9a84-754c920acfea	TCGA-06-0645-01A-01	878584ad-e6b6-493a-9f7f-3e284f5d9f68	TCGA-06-0645	TCGA-GBM	7019a1f3-0c43-4a52-a219-70d0133e0115	TCGA-06-0645-01A	released	01	194.0	False
3127b7e8-044e-4d65-a990-41ee906127a9	TCGA-02-2485-01A-01	521ea765-1bd1-423d-a75d-091243df37a9	TCGA-02-2485	TCGA-GBM	5b5f7c1d-8f3d-4f35-8295-58bc3eefeab0	TCGA-02-2485-01A	released	01	131.0	False
bf4c2b75-25ec-427a-867f-dbe4ce01a56e	TCGA-02-2485-01A-22-1899-20	521ea765-1bd1-423d-a75d-091243df37a9	TCGA-02-2485	TCGA-GBM	5b5f7c1d-8f3d-4f35-8295-58bc3eefeab0	TCGA-02-2485-01A	released	22	--	False
667fdbdd-4194-4cc3-a0c2-832e617a29fb	TCGA-02-2485-10A-01	521ea765-1bd1-423d-a75d-091243df37a9	TCGA-02-2485	TCGA-GBM	1cc3998f-318a-4c25-8ccd-a720059fafad	TCGA-02-2485-10A	released	01	--	False
27101ec4-7163-4f51-9510-39c345d5d96e	TCGA-06-0744-01A-01	5613f5f6-086d-470b-8f77-6dcb7f8625b7	TCGA-06-0744	TCGA-GBM	c01952d4-ae81-48e2-8818-0e438e66b516	TCGA-06-0744-01A	released	01	--	False
edf79dd0-0956-450c-87fd-d221b7521c5d	TCGA-06-0744-10A-01	5613f5f6-086d-470b-8f77-6dcb7f8625b7	TCGA-06-0744	TCGA-GBM	a469d368-66f3-46c9-a95a-9f8497f58996	TCGA-06-0744-10A	released	01	--	False
